2.945860,1.098500
2.945860,1.098500
2.916171,1.098611
2.882787,1.098884
2.854516,1.099137
2.821487,1.099419
2.790027,1.099689
2.756896,1.099867
2.724068,1.099960
2.692480,1.100001
2.664081,1.099978
2.631152,1.099937
2.608170,1.099952
2.575140,1.099992
2.545450,1.099978
2.512445,1.099953
2.484021,1.099956
2.450484,1.099936
2.422617,1.099909
2.397737,1.099927
2.364757,1.099993
2.336713,1.100025
2.303505,1.100040
2.271917,1.100056
2.238330,1.100020
2.210488,1.099986
2.177356,1.100011
2.149261,1.100034
2.116256,1.100030
2.089579,1.100020
2.055992,1.099989
2.027846,1.099944
1.994968,1.099917
1.970290,1.099937
1.938727,1.099967
1.908734,1.099983
1.875501,1.099996
1.847001,1.100005
1.813591,1.099978
1.782509,1.099962
1.749124,1.099975
1.727660,1.099980
1.694452,1.099979
1.671065,1.099979
1.637554,1.099969
1.609307,1.099933
1.576605,1.099915
1.558254,1.099947
1.525350,1.099995
1.497205,1.099999
1.463895,1.099996
1.433725,1.099988
1.400568,1.100005
1.375992,1.100134
1.343110,1.101260
1.318360,1.102895
1.285479,1.107091
1.252916,1.113575
1.224103,1.121021
1.194492,1.131246
1.166997,1.143452
1.138521,1.159305
1.137968,1.159619
1.137947,1.159666
1.137962,1.159645
1.138131,1.159222
1.149845,1.128529
1.159466,1.102133
1.170041,1.070789
1.179481,1.040434
1.187585,1.008079
1.192941,0.980528
1.197642,0.947812
1.200928,0.919757
1.205399,0.887185
1.209846,0.860782
1.217945,0.828325
1.226922,0.799844
1.239525,0.769462
1.251516,0.745808
1.269150,0.717774
1.285000,0.696320
1.305807,0.670735
1.327346,0.646097
1.349131,0.620907
1.364357,0.601074
1.382439,0.573502
1.396659,0.548864
1.413034,0.519916
1.427898,0.494187
1.445652,0.466404
1.463541,0.442529
1.485876,0.418006
1.507716,0.397383
1.533612,0.377105
1.555626,0.362593
1.584859,0.346972
1.590974,0.344095
1.590901,0.344118
1.610155,0.339214
1.642524,0.331575
1.671386,0.325179
1.703583,0.319187
1.720104,0.316549
1.753105,0.312031
1.784362,0.308464
1.817378,0.305416
1.845444,0.303300
1.845469,0.303299
